dataset_source,dataset_version,concept_type,source_domain,external_skill_id,preferred_name,category,description,mapping_status
O*NET Database,31.0,technology,onet_software_skills,2.E.6.f|Amazon Web Services AWS software,Amazon Web Services AWS software,Data base user interface and query software,,pending
O*NET Database,31.0,technology,onet_software_skills,2.E.4.b|Ambient Design ArtRage,Ambient Design ArtRage,Graphics or photo imaging software,,pending
O*NET Database,31.0,technology,onet_software_skills,2.E.6.a|American Medical Association CodeManager,American Medical Association CodeManager,Categorization or classification software,,pending
O*NET Database,31.0,technology,onet_software_skills,2.E.7.b|American National Standards Institute ANSI C,American National Standards Institute ANSI C,Development environment software,,pending
O*NET Database,31.0,technology,onet_software_skills,2.E.2.c|American Riviera Magtax,American Riviera Magtax,Tax preparation software,,pending
O*NET Database,31.0,technology,onet_software_skills,2.E.9.i|Amkai AmkaiCharts,Amkai AmkaiCharts,Medical software,,pending
O*NET Database,31.0,technology,onet_software_skills,2.E.9.d|AndersonBell Abstat,AndersonBell Abstat,Analytical or scientific software,,pending
O*NET Database,31.0,technology,onet_software_skills,2.E.1.i|Ansible software,Ansible software,Expert system software,,pending
O*NET Database,31.0,technology,onet_software_skills,2.E.9.d|ANSYS simulation software,ANSYS simulation software,Analytical or scientific software,,pending
O*NET Database,31.0,technology,onet_software_skills,2.E.14.d|Anti-phishing software,Anti-phishing software,Transaction security and virus protection software,,pending
O*NET Database,31.0,technology,onet_software_skills,2.E.14.d|Anti-spyware software,Anti-spyware software,Transaction security and virus protection software,,pending
O*NET Database,31.0,technology,onet_software_skills,2.E.14.d|Anti-Trojan software,Anti-Trojan software,Transaction security and virus protection software,,pending
O*NET Database,31.0,technology,onet_software_skills,2.E.7.b|Aonix Software Through Pictures,Aonix Software Through Pictures,Development environment software,,pending
O*NET Database,31.0,technology,onet_software_skills,2.E.1.o|Apache Airflow,Apache Airflow,Procedure management software,,pending
O*NET Database,31.0,technology,onet_software_skills,2.E.7.b|Apache Ant,Apache Ant,Development environment software,,pending
O*NET Database,31.0,technology,onet_software_skills,2.E.6.h|Apache Avro,Apache Avro,Information retrieval or search software,,pending
O*NET Database,31.0,technology,onet_software_skills,2.E.6.d|Apache Cassandra,Apache Cassandra,Data base management system software,,pending
O*NET Database,31.0,technology,onet_software_skills,2.E.6.d|Apache Flume,Apache Flume,Data base management system software,,pending
O*NET Database,31.0,technology,onet_software_skills,2.E.7.e|Apache Groovy,Apache Groovy,Object or component oriented development software,,pending
O*NET Database,31.0,technology,onet_software_skills,2.E.7.h|Apache Groovy,Apache Groovy,Web platform development software,,pending
O*NET Database,31.0,technology,onet_software_skills,2.E.6.d|Apache Hadoop,Apache Hadoop,Data base management system software,,pending
O*NET Database,31.0,technology,onet_software_skills,2.E.6.d|Apache HBase,Apache HBase,Data base management system software,,pending
O*NET Database,31.0,technology,onet_software_skills,2.E.6.d|Apache Hive,Apache Hive,Data base management system software,,pending
O*NET Database,31.0,technology,onet_software_skills,2.E.6.f|Apache Hive,Apache Hive,Data base user interface and query software,,pending
O*NET Database,31.0,technology,onet_software_skills,2.E.6.k|Apache HTTP Server,Apache HTTP Server,Portal server software,,pending
O*NET Database,31.0,technology,onet_software_skills,2.E.7.b|Apache Kafka,Apache Kafka,Development environment software,,pending
O*NET Database,31.0,technology,onet_software_skills,2.E.1.i|Apache Mahout,Apache Mahout,Expert system software,,pending
O*NET Database,31.0,technology,onet_software_skills,2.E.7.b|Apache Maven,Apache Maven,Development environment software,,pending
O*NET Database,31.0,technology,onet_software_skills,2.E.9.g|Apache MXNet,Apache MXNet,Industrial control software,,pending
O*NET Database,31.0,technology,onet_software_skills,2.E.6.d|Apache Oozie,Apache Oozie,Data base management system software,,pending
O*NET Database,31.0,technology,onet_software_skills,2.E.6.d|Apache Pig,Apache Pig,Data base management system software,,pending
O*NET Database,31.0,technology,onet_software_skills,2.E.6.d|Apache Solr,Apache Solr,Data base management system software,,pending
