career_name,onet_soc_code,onet_title,source_domain,concept_type,external_skill_id,technology_name,software_category_id,software_category_name,hot_technology,in_demand,score_eligible
Cyber Security Advice and Assessment Specialist,15-1212.00,Information Security Analysts,onet_software_skills,technology,2.E.6.m|IBM Cognos Impromptu,IBM Cognos Impromptu,2.E.6.m,Business intelligence and data analysis software,N,N,true
Cyber Security Analyst,15-1212.00,Information Security Analysts,onet_software_skills,technology,2.E.6.m|IBM Cognos Impromptu,IBM Cognos Impromptu,2.E.6.m,Business intelligence and data analysis software,N,N,true
Cyber Security Advice and Assessment Specialist,15-1212.00,Information Security Analysts,onet_software_skills,technology,2.E.12.b|IBM Domino,IBM Domino,2.E.12.b,Communications server software,N,N,true
Cyber Security Analyst,15-1212.00,Information Security Analysts,onet_software_skills,technology,2.E.12.b|IBM Domino,IBM Domino,2.E.12.b,Communications server software,N,N,true
Cyber Security Advice and Assessment Specialist,15-1212.00,Information Security Analysts,onet_software_skills,technology,2.E.16.a|IBM Notes,IBM Notes,2.E.16.a,Electronic mail software,N,N,true
Cyber Security Analyst,15-1212.00,Information Security Analysts,onet_software_skills,technology,2.E.16.a|IBM Notes,IBM Notes,2.E.16.a,Electronic mail software,N,N,true
Cyber Security Advice and Assessment Specialist,15-1212.00,Information Security Analysts,onet_software_skills,technology,2.E.17.a|IBM Power Systems software,IBM Power Systems software,2.E.17.a,Enterprise system management software,N,N,true
Cyber Security Analyst,15-1212.00,Information Security Analysts,onet_software_skills,technology,2.E.17.a|IBM Power Systems software,IBM Power Systems software,2.E.17.a,Enterprise system management software,N,N,true
Cyber Security Advice and Assessment Specialist,15-1212.00,Information Security Analysts,onet_software_skills,technology,2.E.11.a|IBM QRadar SIEM,IBM QRadar SIEM,2.E.11.a,Network monitoring software,N,N,true
Cyber Security Analyst,15-1212.00,Information Security Analysts,onet_software_skills,technology,2.E.11.a|IBM QRadar SIEM,IBM QRadar SIEM,2.E.11.a,Network monitoring software,N,N,true
